"Name";"Subtitle";"Acceleration";"TopSpeed";"Range_km";"Efficiency";"FastChargeSpeed";"Drive";"NumberofSeats";"PriceinGermany";"PriceinUK";"price_germany_num";"price_uk_num"
"Tesla Model 3 Standard Range Plus LFP";"Battery Electric Vehicle |       51 kWh ";"5.6 sec";"225 km/h";"340 km";"150 Wh/km";"570 km/h";"Rear Wheel Drive";"5";"43560";"40990";43560.0;40990.0
"Tesla Model 3 Long Range Dual Motor";"Battery Electric Vehicle |       70 kWh ";"4.4 sec";"233 km/h";"455 km";"154 Wh/km";"570 km/h";"All Wheel Drive";"5";"";"48490";0.0;48490.0
"Tesla Model 3 Performance";"Battery Electric Vehicle |       76 kWh ";"3.3 sec";"261 km/h";"470 km";"162 Wh/km";"790 km/h";"All Wheel Drive";"5";"58560";"59990";58560.0;59990.0
"Fiat 500e Hatchback 24 kWh";"Battery Electric Vehicle |       23.8 kWh ";"9.5 sec";"135 km/h";"165 km";"144 Wh/km";"260 km/h";"Front Wheel Drive";"4";"23560";"20495";23560.0;20495.0
"Fiat 500e 3+1";"Battery Electric Vehicle |       37.3 kWh ";"9.0 sec";"150 km/h";"245 km";"152 Wh/km";"410 km/h";"Front Wheel Drive";"4";"29560";"";29560.0;0.0
"Mercedes EQC 400 4MATIC";"Battery Electric Vehicle |       80 kWh";"5.1 sec";"180 km/h";"370 km";"216 Wh/km";"440 km/h";"All Wheel Drive";"5";"66069";"65720";66069.0;65720.0
"Kia e-Niro 64 kWh";"Battery Electric Vehicle |       64 kWh";"7.8 sec";"167 km/h";"370 km";"173 Wh/km";"350 km/h";"Front Wheel Drive";"5";"39090";"32445";39090.0;32445.0
"Kia e-Niro 39 kWh";"Battery Electric Vehicle |       39.2 kWh";"9.8 sec";"155 km/h";"235 km";"167 Wh/km";"230 km/h";"Front Wheel Drive";"5";"35290";"30345";35290.0;30345.0
"Citroen e-SpaceTourer XS 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"50880";"";50880.0;0.0
"Citroen e-SpaceTourer M 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"51440";"31995";51440.0;31995.0
"Citroen e-SpaceTourer XL 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"180 km";"250 Wh/km";"240 km/h";"Front Wheel Drive";"7";"52230";"";52230.0;0.0
"Citroen e-SpaceTourer M 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.3 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"57440";"";57440.0;0.0
"Citroen e-SpaceTourer XL 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.3 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"58230";"";58230.0;0.0
"Opel Zafira-e Life S 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"56700";"";56700.0;0.0
"Opel Zafira-e Life M 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"53800";"";53800.0;0.0
"Opel Zafira-e Life L 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"180 km";"250 Wh/km";"240 km/h";"Front Wheel Drive";"7";"54625";"49465";54625.0;49465.0
"Opel Zafira-e Life M 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.3 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"59800";"";59800.0;0.0
"Opel Zafira-e Life L 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.3 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"60625";"";60625.0;0.0
"Peugeot e-Traveller Compact 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"50880";"";50880.0;0.0
"Peugeot e-Traveller Standard 50 kWh";"Battery Electric Vehicle |       45 kWh ";"13.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"55900";"49065";55900.0;49065.0
"Peugeot e-Traveller Long 50 kWh";"Battery Electric Vehicle |       45 kWh ";"13.1 sec";"130 km/h";"185 km";"243 Wh/km";"250 km/h";"Front Wheel Drive";"7";"56690";"49905";56690.0;49905.0
"Peugeot e-Traveller Standard 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.3 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"57440";"";57440.0;0.0
"Peugeot e-Traveller Long 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.3 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"58230";"";58230.0;0.0
"Audi e-tron 55 quattro";"Battery Electric Vehicle |       86.5 kWh";"5.7 sec";"200 km/h";"365 km";"237 Wh/km";"590 km/h";"All Wheel Drive";"5";"81500";"";81500.0;0.0
"Audi e-tron Sportback 55 quattro";"Battery Electric Vehicle |       86.5 kWh";"5.7 sec";"200 km/h";"375 km";"231 Wh/km";"600 km/h";"All Wheel Drive";"5";"83750";"";83750.0;0.0
"Seres 3 ";"Battery Electric Vehicle |       52 kWh ";"8.9 sec";"155 km/h";"270 km";"193 Wh/km";"390 km/h";"Front Wheel Drive";"5";"";"";0.0;0.0
"Hyundai IONIQ 5 Project 45";"Battery Electric Vehicle |       72.6 kWh ";"5.2 sec";"185 km/h";"370 km";"196 Wh/km";"860 km/h";"All Wheel Drive";"5";"59550";"48000";59550.0;48000.0
"Porsche Taycan ";"Battery Electric Vehicle |       71 kWh";"5.4 sec";"230 km/h";"395 km";"180 Wh/km";"790 km/h";"Rear Wheel Drive";"4";"83520";"70690";83520.0;70690.0
"Porsche Taycan Plus";"Battery Electric Vehicle |       83.7 kWh";"5.4 sec";"230 km/h";"460 km";"182 Wh/km";"960 km/h";"Rear Wheel Drive";"4";"89244";"74739";89244.0;74739.0
"Tesla Model S Long Range";"Battery Electric Vehicle |       90 kWh ";"3.2 sec";"250 km/h";"555 km";"162 Wh/km";"830 km/h";"All Wheel Drive";"5";"86990";"83980";86990.0;83980.0
"Tesla Model S Plaid";"Battery Electric Vehicle |       90 kWh ";"2.1 sec";"322 km/h";"535 km";"168 Wh/km";"800 km/h";"All Wheel Drive";"5";"126990";"118980";126990.0;118980.0
"Tesla Model X Long Range";"Battery Electric Vehicle |       90 kWh ";"3.9 sec";"250 km/h";"475 km";"189 Wh/km";"710 km/h";"All Wheel Drive";"7";"95990";"90980";95990.0;90980.0
"Tesla Model X Plaid";"Battery Electric Vehicle |       90 kWh ";"2.6 sec";"262 km/h";"455 km";"198 Wh/km";"680 km/h";"All Wheel Drive";"7";"116990";"110980";116990.0;110980.0
"Mini Cooper SE ";"Battery Electric Vehicle |       28.9 kWh";"7.3 sec";"150 km/h";"185 km";"156 Wh/km";"260 km/h";"Front Wheel Drive";"4";"32500";"26000";32500.0;26000.0
"JAC iEV7s ";"Battery Electric Vehicle |       39 kWh";"12.0 sec";"132 km/h";"225 km";"173 Wh/km";"160 km/h";"Front Wheel Drive";"5";"";"";0.0;0.0
"Volkswagen ID.4 Pure Performance";"Battery Electric Vehicle |       52 kWh";"9.0 sec";"160 km/h";"285 km";"182 Wh/km";"410 km/h";"Rear Wheel Drive";"5";"38450";"36030";38450.0;36030.0
"Audi e-tron GT quattro";"Battery Electric Vehicle |       85 kWh";"4.1 sec";"245 km/h";"420 km";"202 Wh/km";"840 km/h";"All Wheel Drive";"4";"99800";"79900";99800.0;79900.0
"Volvo C40 Recharge";"Battery Electric Vehicle |       75 kWh";"4.7 sec";"180 km/h";"340 km";"221 Wh/km";"440 km/h";"All Wheel Drive";"5";"62050";"57400";62050.0;57400.0
"Hyundai Kona Electric 39 kWh";"Battery Electric Vehicle |       39.2 kWh";"9.9 sec";"155 km/h";"250 km";"157 Wh/km";"210 km/h";"Front Wheel Drive";"5";"35650";"27950";35650.0;27950.0
"Hyundai Kona Electric 64 kWh";"Battery Electric Vehicle |       64 kWh";"7.9 sec";"167 km/h";"395 km";"162 Wh/km";"370 km/h";"Front Wheel Drive";"5";"41850";"32550";41850.0;32550.0
"Porsche Taycan 4S Cross Turismo";"Battery Electric Vehicle |       83.7 kWh";"4.1 sec";"240 km/h";"405 km";"207 Wh/km";"850 km/h";"All Wheel Drive";"4";"111842";"87820";111842.0;87820.0
"Porsche Taycan Turbo Cross Turismo";"Battery Electric Vehicle |       83.7 kWh";"3.3 sec";"250 km/h";"385 km";"217 Wh/km";"800 km/h";"All Wheel Drive";"4";"154444";"116950";154444.0;116950.0
"Porsche Taycan Turbo S Cross Turismo";"Battery Electric Vehicle |       83.7 kWh";"2.9 sec";"250 km/h";"380 km";"220 Wh/km";"790 km/h";"All Wheel Drive";"4";"187746";"139910";187746.0;139910.0
"Kia EV6 GT";"Battery Electric Vehicle |       77.4 kWh ";"3.5 sec";"260 km/h";"395 km";"196 Wh/km";"920 km/h";"All Wheel Drive";"5";"65990";"58295";65990.0;58295.0
"BMW iX xDrive40";"Battery Electric Vehicle |       71 kWh";"6.1 sec";"200 km/h";"350 km";"203 Wh/km";"470 km/h";"All Wheel Drive";"5";"77300";"69905";77300.0;69905.0
"BMW iX xDrive50";"Battery Electric Vehicle |       105.2 kWh";"4.6 sec";"200 km/h";"505 km";"208 Wh/km";"620 km/h";"All Wheel Drive";"5";"98000";"91905";98000.0;91905.0
"MG MG5 Electric";"Battery Electric Vehicle |       57 kWh ";"8.3 sec";"180 km/h";"340 km";"168 Wh/km";"440 km/h";"Front Wheel Drive";"5";"35000";"";35000.0;0.0
"MG Marvel R Performance";"Battery Electric Vehicle |       65 kWh ";"4.9 sec";"200 km/h";"330 km";"197 Wh/km";"380 km/h";"All Wheel Drive";"5";"50000";"";50000.0;0.0
"Hyundai IONIQ 5 Standard Range 2WD";"Battery Electric Vehicle |       58 kWh ";"8.5 sec";"185 km/h";"310 km";"187 Wh/km";"720 km/h";"Rear Wheel Drive";"5";"41900";"36995";41900.0;36995.0
"Hyundai IONIQ 5 Standard Range AWD";"Battery Electric Vehicle |       58 kWh ";"6.1 sec";"185 km/h";"305 km";"190 Wh/km";"710 km/h";"All Wheel Drive";"5";"45700";"";45700.0;0.0
"Hyundai IONIQ 5 Long Range 2WD";"Battery Electric Vehicle |       72.6 kWh ";"7.4 sec";"185 km/h";"385 km";"189 Wh/km";"890 km/h";"Rear Wheel Drive";"5";"45100";"41945";45100.0;41945.0
"Hyundai IONIQ 5 Long Range AWD";"Battery Electric Vehicle |       72.6 kWh ";"5.2 sec";"185 km/h";"375 km";"194 Wh/km";"870 km/h";"All Wheel Drive";"5";"48900";"45145";48900.0;45145.0
"Kia EV6 Standard Range 2WD";"Battery Electric Vehicle |       58 kWh ";"8.5 sec";"185 km/h";"320 km";"181 Wh/km";"740 km/h";"Rear Wheel Drive";"5";"44990";"40985";44990.0;40985.0
"Kia EV6 Long Range 2WD";"Battery Electric Vehicle |       77.4 kWh ";"7.5 sec";"185 km/h";"420 km";"184 Wh/km";"980 km/h";"Rear Wheel Drive";"5";"54990";"48000";54990.0;48000.0
"Kia EV6 Long Range AWD";"Battery Electric Vehicle |       77.4 kWh ";"5.4 sec";"185 km/h";"410 km";"189 Wh/km";"950 km/h";"All Wheel Drive";"5";"56000";"52000";56000.0;52000.0
"Mercedes EQS 450+";"Battery Electric Vehicle |       107.8 kWh";"6.2 sec";"210 km/h";"640 km";"168 Wh/km";"840 km/h";"Rear Wheel Drive";"5";"106374";"95000";106374.0;95000.0
"Mercedes EQS 580 4MATIC";"Battery Electric Vehicle |       107.8 kWh";"4.3 sec";"210 km/h";"610 km";"177 Wh/km";"800 km/h";"All Wheel Drive";"5";"135529";"115000";135529.0;115000.0
"Tesla Model 3 Standard Range Plus";"Battery Electric Vehicle |       50 kWh ";"5.6 sec";"225 km/h";"340 km";"147 Wh/km";"680 km/h";"Rear Wheel Drive";"5";"43560";"40990";43560.0;40990.0
"Polestar 2 Standard Range Single Motor";"Battery Electric Vehicle |       61 kWh ";"7.4 sec";"160 km/h";"350 km";"174 Wh/km";"450 km/h";"Front Wheel Drive";"5";"46500";"39900";46500.0;39900.0
"Polestar 2 Long Range Single Motor";"Battery Electric Vehicle |       75 kWh ";"7.4 sec";"160 km/h";"425 km";"176 Wh/km";"550 km/h";"Front Wheel Drive";"5";"49500";"42900";49500.0;42900.0
