"region";"address";"aux_address";"latitude";"longitude";"type";"power";"service";"power_kw"
"Noida Authority";"In front of Hexagon pvt ltd, sector-65, Noida";"Electric Vehicle Charger, In front of Hexagon pvt ltd, sector-65, Noida";28.612763;77.387132;"DC-001";"15 kW";"Self Service";15
"SDMC";"Charger 4,c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048";"Electric Vehicle Charger, Charger 4,c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048";28.573052;77.173534;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"SDMC";"Charger 5, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048";"Electric Vehicle Charger, Charger 5, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048";28.573052;77.173534;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"SDMC";"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym";"Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym";28.557662;77.157684;"DC-001";"15 kW";"Self Service";15
"SDMC";"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7";"Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7";28.557662;77.157684;"DC-001";"15 kW";"Self Service";15
"SDMC";"EV Parking Slot 3-5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016";"Electric Vehicle Charger, EV Parking Slot 3-5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016";28.5534;77.194165;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"SDMC";"EV Parking Slot 5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016";"Electric Vehicle Charger, EV Parking Slot 5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016";28.5534;77.194165;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"SDMC";"J-Block, Malviya Nagar, parking New Delhi";"Electric Vehicle Charger, J-Block, Malviya Nagar, parking New Delhi";28.583686;77.0802;"DC-001";"15 kW";"Self Service";15
"SDMC";"J-Block, Malviya Nagar, parking New Delhi";"Electric Vehicle Charger, J-Block, Malviya Nagar, parking New Delhi";28.583686;77.0802;"DC-001";"15 kW";"Self Service";15
"SDMC";"Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi";"Electric Vehicle Charger, Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi";28.571886;77.242384;"DC-001";"15 kW";"Self Service";15
"SDMC";"Feroze Gandhi Road, Lajpat Nagar, SDMC parking New Delhi";"Electric Vehicle Charger, Feroze Gandhi Road, Lajpat Nagar, SDMC parking New Delhi";28.642892;77.219089;"DC-001";"15 kW";"Self Service";15
"SDMC";"Meharchand Market, SDMC parking, New Delhi";"Electric Vehicle Charger, Meharchand Market, SDMC parking, New Delhi";28.586018;77.227942;"DC-001";"15 kW";"Self Service";15
"SDMC";"EESL H-Block, Sarita Vihar, SDMC parking New Delhi";"Electric Vehicle Charger, EESL H-Block, Sarita Vihar, SDMC parking New Delhi";28.534966;77.291393;"DC-001";"15 kW";"Self Service";15
"SDMC";"EESL, Plot 81-85, Nehru Place, SDMC Parking, New Delhi";"Electric Vehicle Charger, EESL, Plot 81-85, Nehru Place, SDMC Parking, New Delhi";28.548871;77.254106;"DC-001";"15 kW";"Self Service";15
"NRANVP";"NRANVP, PARYAVAS BHAWAN, NORTH BLOCK, SECTOR 19, NAYA RAYPUR MARG, ATAL NAGAR RAIPUR";"Electric Vehicle Charger, NRANVP, PARYAVAS BHAWAN, NORTH BLOCK, SECTOR 19, NAYA RAYPUR MARG, ATAL NAGAR RAIPUR";21.164227;81.788659;"DC-001";"15 kW";"Self Service";15
"NRANVP";"CBDNAVA RAIPUR MARG, SECTOR 21,KAYABANDHA, ATAL NAGAR RAIPUR DIST. 492101 Chhatisgarh";"Electric Vehicle Charger, CBDNAVA RAIPUR MARG, SECTOR 21,KAYABANDHA, ATAL NAGAR RAIPUR DIST. 492101 Chhatisgarh";21.170058;81.771447;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Diagonally op. Sasta Sundar Hospital, sector- 58, Noida";"Electric Vehicle Charger, Diagonally op. Sasta Sundar Hospital, sector- 58, Noida";28.606751;77.359719;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"In front of affinity salon, sector- 51, Noida";"Electric Vehicle Charger, In front of affinity salon, sector- 51, Noida";28.577314;77.360954;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Side parking of HCL building, sector-8, Noida";"Electric Vehicle Charger, Side parking of HCL building, sector-8, Noida";28.595164;77.328135;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Opp C-101 Jain air travels, sector-2, Noida";"Electric Vehicle Charger, Opp C-101 Jain air travels, sector-2, Noida";28.584688;77.31593;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301";"Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301";28.626582;77.375216;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301";"Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301";28.626582;77.375216;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Electronic City , Metro Station parking gate no.2, Noida - 201301";"Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301";28.627941;77.37493;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Electronic City , Metro Station parking gate no.2, Noida - 201301";"Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301";28.627941;77.37493;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Between kirti mann plaza and NMC hospital Sector 30 Noida";"Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida";28.572798;77.340531;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Between kirti mann plaza and NMC hospital Sector 30 Noida";"Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida";28.572798;77.340531;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India";"Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India";28.58212;77.326699;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India";"Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India";28.58212;77.326699;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313";"Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313";28.548194;77.322194;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"Noida Authority";"road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313";"Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313";28.548194;77.322194;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
